,$z_0$ [mm],$W_0$ [mm],$M^2$,$M^2$ / $W_0$ [mm$^{-1}$]
0,$(1.10\times 10) \pm (8.51\times 10^{-2})$,$(3.12\times 10^{-2}) \pm (1.53\times 10^{-3})$,$(1.10) \pm (4.60\times 10^{-2})$,$(3.51\times 10) \pm (2.26)$
1,$(1.10\times 10) \pm (7.09\times 10^{-2})$,$(3.01\times 10^{-2}) \pm (1.30\times 10^{-3})$,$(1.05) \pm (3.93\times 10^{-2})$,$(3.48\times 10) \pm (1.99)$
