,$z_0$ [mm],$W_0$ [mm],$M^2$,$M^2$ / $W_0$ [mm$^{-1}$]
0,$(-1.02\times 10) \pm (8.54)$,$(2.13\times 10^{-1}) \pm (8.90\times 10^{-3})$,$(4.45) \pm (9.89\times 10^{-1})$,$(2.09\times 10) \pm (4.72)$
1,$(-1.20) \pm (1.41)$,$(1.72\times 10^{-1}) \pm (2.04\times 10^{-3})$,$(5.04) \pm (2.93\times 10^{-1})$,$(2.93\times 10) \pm (1.73)$
