absolute_position[mm],intensity[mW],scale,notes
9,1.38E-05,nW,Scale is the unit shown on the potentiometer. But all measurements in intensity are in mW.
8.8,1.65E-05,nW,
8.6,2.22E-05,nW,
8.4,4.30E-04,uW,
8.2,1.39E-03,uW,
8,3.70E-03,uW,
7.8,5.20E-03,uW,
7.6,1.85E-02,uW,
7.4,4.80E-02,uW,
7.2,1.04E-01,uW,
7,1.95E-01,uW,
6.8,3.20E-01,mW,
6.6,4.60E-01,mW,
6.4,6.10E-01,mW,
6.2,7.40E-01,mW,
6,8.30E-01,mW,
5.8,8.90E-01,mW,
5.6,9.20E-01,mW,
5.4,9.40E-01,mW,
5.2,9.50E-01,mW,
5,9.50E-01,mW,
